Transaction Date,Posting Date,Description,Amount,Category,Month,Year
20-May,20-May,PAYMENT - THANK YOU / PAIEMENT - MERCI,"-1,000.00",Credit card payment,May,2020
22-May,25-May,AMAZON.CA*M78MJ3M31 AMAZON.CA ON,47.4,Shopping - Amazon,May,2020
23-May,25-May,R M*WYSE 289-3190885 ON,41.35,Electricity,May,2020
23-May,25-May,ZARA.COM CANADA MONTREAL QC,40.53,NA,May,2020
24-May,25-May,AMAZON.CA PRIME MEMBER AMAZON.CA/PRIBC,9.03,Shopping - Amazon,May,2020
25-May,26-May,FORTINOS (WATERDOWN 20 WATERDOWN ON,75.34,Groceries,May,2020
27-May,27-May,AMAZON.CA*M71QT5UY1 AMAZON.CA ON,1.47,Shopping - Amazon,May,2020
27-May,27-May,AMZN MKTP CA*M78GE9SH0 WWW.AMAZON.CAON,12.96,Shopping - Amazon,May,2020
27-May,27-May,AMZN MKTP CA*M75AA0ST0 WWW.AMAZON.CAON,42.64,Shopping - Amazon,May,2020
27-May,27-May,AMZN MKTP CA*M73TW6SD0 WWW.AMAZON.CAON,59.97,Shopping - Amazon,May,2020
30-May,1-Jun,AMAZON.CA*MY0QV14H1 AMAZON.CA ON,7.9,Shopping - Amazon,May,2020
30-May,1-Jun,AMZN MKTP CA*M77Z252R2 WWW.AMAZON.CAON,33.89,Shopping - Amazon,May,2020
30-May,1-Jun,WAYFAIR*WAYFAIR.CA 800-5081737 ON,72.31,NA,May,2020
1-Jun,3-Jun,WAYFAIR*WAYFAIR.CA 800-5081737 ON,79.09,NA,Jun,2020
1-Jun,2-Jun,PAYMENT - THANK YOU / PAIEMENT - MERCI,-900,Credit card payment,Jun,2020
3-Jun,4-Jun,FORTINOS (WATERDOWN 20 WATERDOWN ON,56.21,Groceries,Jun,2020
4-Jun,4-Jun,SVI - 143 HEARTLAKE RD 905-457-0777 ON,161.95,NA,Jun,2020
5-Jun,8-Jun,H&M ONLINE TORONTO ON,82.54,NA,Jun,2020
5-Jun,8-Jun,WAL-MART SUPERCENTER#1107WATERDOWN ON,105.16,Shopping,Jun,2020
7-Jun,8-Jun,PAYMENT - THANK YOU / PAIEMENT - MERCI,-400,Credit card payment,Jun,2020
9-Jun,10-Jun,VESTA *CHATR 888-278-5588 BC,33.9,Phone,Jun,2020
9-Jun,10-Jun,UDEMY ONLINE COURSES HTTPSWWW.UDEMCA,14.99,NA,Jun,2020
9-Jun,10-Jun,FORTINOS (WATERDOWN 20 WATERDOWN ON,33.49,Groceries,Jun,2020
11-Jun,11-Jun,AMAZON.CA*MY6V37BW2 AMAZON.CA ON,20.33,Shopping - Amazon,Jun,2020
13-Jun,15-Jun,CDN TIRE STORE #00027 DUNDAS ON,14.44,Shopping,Jun,2020
14-Jun,15-Jun,AMZN MKTP CA*MS2C85CS0 WWW.AMAZON.CAON,30.54,Shopping - Amazon,Jun,2020
14-Jun,15-Jun,FORTINOS (WATERDOWN 20 WATERDOWN ON,11.33,Groceries,Jun,2020
14-Jun,15-Jun,PIONEER STN #19 DUNDAS ON,25,Fuel,Jun,2020
14-Jun,15-Jun,PAYMENT - THANK YOU / PAIEMENT - MERCI,-300,Credit card payment,Jun,2020
14-Jun,15-Jun,CDN TIRE STORE #00220 WATERDOWN ON,139.32,Shopping,Jun,2020
14-Jun,17-Jun,STARBUCKS 04979 WATERDOWN ON,9.72,Coffee,Jun,2020
15-Jun,16-Jun,AMZN MKTP CA*MY0FE2I32 WWW.AMAZON.CAON,30.16,Shopping - Amazon,Jun,2020
15-Jun,16-Jun,AMAZON.CA*MS47Q2NE1 AMAZON.CA ON,33.89,Shopping - Amazon,Jun,2020
15-Jun,17-Jun,MTO RUS - SO WATERDOWN WATERDOWN ON,199,NA,Jun,2020
15-Jun,16-Jun,CDN TIRE STORE #00027 DUNDAS ON,15.8,Shopping,Jun,2020
16-Jun,16-Jun,AMZN MKTP CA*MS12S53T1 WWW.AMAZON.CAON,47.41,Shopping - Amazon,Jun,2020
16-Jun,17-Jun,CDN TIRE STORE #00027 DUNDAS ON,9.03,Shopping,Jun,2020
17-Jun,18-Jun,INDIAN GROCERS BURLINGTON ON,13.86,Groceries,Jun,2020
18-Jun,19-Jun,R M*WYSE 289-3190885 ON,33.68,Electricity,Jun,2020
18-Jun,18-Jun,PAYMENT - THANK YOU / PAIEMENT - MERCI,-500,Credit card payment,Jun,2020
19-Jun,22-Jun,FORTINOS (WATERDOWN 20 WATERDOWN ON,116.96,Groceries,Jun,2020
20-Jun,22-Jun,GAP.COM 4584 800-427-7895 ON,33.95,Clothing,Jun,2020
20-Jun,22-Jun,COGECO CONNEXION BURLINGTON ON,89.26,Internet,Jun,2020
22-Jun,25-Jun,WAL-MART SUPERCENTER#1107WATERDOWN ON,29.37,Shopping,Jun,2020
24-Jun,24-Jun,AMAZON.CA PRIME MEMBER AMAZON.CA/PRIBC,9.03,Shopping - Amazon,Jun,2020
24-Jun,25-Jun,FORTINOS (MAIN STREET) HAMILTON ON,15.17,Groceries,Jun,2020
25-Jun,26-Jun,GAP.COM 4584 800-427-7895 ON,31.18,Clothing,Jun,2020
27-Jun,29-Jun,INDIAN GROCERS BURLINGTON ON,42.2,Groceries,Jun,2020
27-Jun,29-Jun,FORTINOS (UPPER MIDDLE BURLINGTON ON,52.48,Groceries,Jun,2020
29-Jun,30-Jun,407-ETR-WEB WOODBRIDGE ON,27.69,NA,Jun,2020
29-Jun,30-Jun,PAYMENT - THANK YOU / PAIEMENT - MERCI,-400,Credit card payment,Jun,2020
30-Jun,2-Jul,FORTINOS (WATERDOWN 20 WATERDOWN ON,27.32,Groceries,Jun,2020
30-Jun,2-Jul,DOORDASH*INDIA VILLAGE DOWNTOWN TOROON,29.85,Food - Take out,Jun,2020
30-Jun,2-Jul,SHOPPERS DRUG MART #1054 WATERDOWN ON,27.89,Healthcare - Pharmacy,Jun,2020
2-Jul,2-Jul,SVI - 143 HEARTLAKE RD 905-457-0777 ON,161.95,NA,Jul,2020
3-Jul,6-Jul,SHOPPERS DRUG MART0742 DUNDAS ON,15.24,Healthcare - Pharmacy,Jul,2020
4-Jul,6-Jul,FORTINOS (MAIN STREET) HAMILTON ON,49.13,Groceries,Jul,2020
4-Jul,6-Jul,PIONEER STN #19 DUNDAS ON,25,Fuel,Jul,2020
6-Jul,7-Jul,FORTINOS (WATERDOWN 20 WATERDOWN ON,20.25,Groceries,Jul,2020
7-Jul,7-Jul,PAYMENT - THANK YOU / PAIEMENT - MERCI,-300,Credit card payment,Jul,2020
8-Jul,9-Jul,FORTINOS (WATERDOWN 20 WATERDOWN ON,17.28,Groceries,Jul,2020
8-Jul,8-Jul,PAYMENT - THANK YOU / PAIEMENT - MERCI,-238,Credit card payment,Jul,2020
9-Jul,9-Jul,VESTA *CHATR 888-278-5588 BC,39.55,Phone,Jul,2020
10-Jul,13-Jul,INDIAN GROCERS BURLINGTON ON,39.6,Groceries,Jul,2020
13-Jul,14-Jul,FORTINOS (MAIN STREET) HAMILTON ON,28.93,Groceries,Jul,2020
13-Jul,14-Jul,FORTINOS (MAIN STREET) HAMILTON ON,4.85,Groceries,Jul,2020
15-Jul,16-Jul,FORTINOS (MAIN STREET) HAMILTON ON,62.7,Groceries,Jul,2020
16-Jul,16-Jul,PAYMENT - THANK YOU / PAIEMENT - MERCI,-130,Credit card payment,Jul,2020
17-Jul,17-Jul,AMZN MKTP CA*MJ9WI6WW2 WWW.AMAZON.CAON,51.11,Shopping - Amazon,Jul,2020
17-Jul,20-Jul,R M*WYSE 289-3190885 ON,31.42,Electricity,Jul,2020
17-Jul,20-Jul,METRO #102 DUNDAS ON,64.04,Shopping,Jul,2020
18-Jul,20-Jul,DOORDASH*BASILIQUE DOWNTOWN TOROON,22.05,Food - Take out,Jul,2020
20-Jul,21-Jul,FORTINOS (MAIN STREET) HAMILTON ON,23.92,Groceries,Jul,2020
20-Jul,21-Jul,COGECO CONNEXION BURLINGTON ON,89.26,Internet,Jul,2020
22-Jul,23-Jul,FORTINOS (MAIN STREET) HAMILTON ON,17.93,Groceries,Jul,2020
22-Jul,23-Jul,DOORDASH*THAI EXPRESS DOWNTOWN TOROON,22.8,Food - Take out,Jul,2020
23-Jul,23-Jul,PAYMENT - THANK YOU / PAIEMENT - MERCI,-300,Credit card payment,Jul,2020
24-Jul,24-Jul,AMAZON.CA PRIME MEMBER AMAZON.CA/PRIBC,9.03,Shopping - Amazon,Jul,2020
25-Jul,27-Jul,AMZ*AMOSTING WWW.AMAZON.CAON,-23.99,Shopping - Amazon,Jul,2020
25-Jul,27-Jul,INDIAN GROCERS BURLINGTON ON,38.69,Groceries,Jul,2020
25-Jul,27-Jul,FORTINOS (UPPER MIDDLE BURLINGTON ON,33.86,Groceries,Jul,2020
25-Jul,27-Jul,STAPLES #456 DUNDAS ON,0.46,Shopping,Jul,2020
28-Jul,29-Jul,407-ETR-WEB WOODBRIDGE ON,7.3,NA,Jul,2020
